feat_stid,tgt_stid,tgt_LATITUDE,tgt_LONGITUDE,feat_LATITUDE,feat_LONGITUDE,dist_km
70232526443,70270000489,61.2658,-149.6533,61.57194,-149.54056,34.6041823278492
70232526443,70272026401,61.25306,-149.79361,61.57194,-149.54056,37.970468386639
70232526443,70272526491,61.1786,-149.96509,61.57194,-149.54056,49.2930197290175
70232526443,70273026451,61.16916,-150.02771,61.57194,-149.54056,51.8217451766491
70232526443,70273526409,61.2163,-149.85724,61.57194,-149.54056,43.0372977047103
70232526443,70274025331,61.59505,-149.09175,61.57194,-149.54056,23.9141917015102
70232526443,70274626497,61.41639,-149.50722,61.57194,-149.54056,17.4061026842716
70232526443,70275726444,60.78333,-148.73333,61.57194,-149.54056,97.8931270813025
70232526443,72259299999,61.15,-149.9833333,61.57194,-149.54056,52.5761477389886
70232526443,99738199999,61.238,-149.89,61.57194,-149.54056,41.5755115758699
70246026512,99999996408,63.452,-150.8747,63.88611,-152.30194,85.4462671010266
70251026528,70232526443,61.57194,-149.54056,62.31978,-150.09744,88.2059705752458
70251026528,70260696401,62.82639,-149.90667,62.31978,-150.09744,57.2375486898708
70251026528,70274025331,61.59505,-149.09175,62.31978,-150.09744,96.3242999315803
70259026523,70259526559,60.47583,-151.03417,60.57909,-151.24152,16.1586536417382
70259026523,70272526491,61.1786,-149.96509,60.57909,-151.24152,96.0986481033911
70259026523,70273026451,61.16916,-150.02771,60.57909,-151.24152,92.9488829785278
70259026523,72259299999,61.15,-149.9833333,60.57909,-151.24152,93.2129741188137
70259026523,99738299999,60.68,-151.4,60.57909,-151.24152,14.1792934323816
70259026523,99999926563,60.7237,-150.4484,60.57909,-151.24152,46.1696806760655
70259526559,70259026523,60.57909,-151.24152,60.47583,-151.03417,16.1586536417382
70259526559,70272526491,61.1786,-149.96509,60.47583,-151.03417,97.390693646819
70259526559,70273026451,61.16916,-150.02771,60.47583,-151.03417,94.5510784840345
70259526559,70277026438,60.12927,-149.41849,60.47583,-151.03417,97.094359677964
70259526559,70341025507,59.64196,-151.49098,60.47583,-151.03417,96.2326542106589
70259526559,72259299999,61.15,-149.9833333,60.47583,-151.03417,94.265761135262
70259526559,99717699999,59.602,-151.417,60.47583,-151.03417,99.5749697553114
70259526559,99738299999,60.68,-151.4,60.47583,-151.03417,30.2782241586979
70259526559,99816799999,59.6,-151.4166666,60.47583,-151.03417,99.7886606126241
70259526559,99843099999,60.12,-149.427,60.47583,-151.03417,97.091758415288
70259526559,99999926563,60.7237,-150.4484,60.47583,-151.03417,42.261502709117
70260026435,70261026411,64.80309,-147.87606,64.54725,-149.08713,64.3152641467008
70260026435,70261526498,64.8375,-147.61444,64.54725,-149.08713,77.1677110450531
70260026435,70264546403,63.73333,-148.91667,64.54725,-149.08713,90.9823068195558
70260026435,70265026407,64.68333,-147.08333,64.54725,-149.08713,96.813522635985
70260026435,99999926494,64.9735,-147.51,64.54725,-149.08713,88.6292195740897
70260696401,70251026528,62.31978,-150.09744,62.82639,-149.90667,57.2375486898708
70260696401,99999996408,63.452,-150.8747,62.82639,-149.90667,84.9726642401832
70260725378,70367025322,58.4111,-135.7089,58.09619,-135.40875,39.2168010377507
70260725378,70381025309,58.354,-134.55606,58.09619,-135.40875,57.6364678822803
70260725378,70381725357,58.1916,-136.3435,58.09619,-135.40875,55.9365241396601
70260725378,70383025310,57.49889,-134.58639,58.09619,-135.40875,82.4673541621659
70260725378,99717899999,58.198,-134.257,58.09619,-135.40875,68.6044773122996
70260725378,99778999999,58.9666666,-135.2166666,58.09619,-135.40875,97.5417006129165
70260725378,99779699999,58.2,-134.1333333,58.09619,-135.40875,75.8105394680562
70260725378,99779799999,58.4,-134.95,58.09619,-135.40875,43.1970711611641
70260725378,99779899999,58.2666666,-134.4333333,58.09619,-135.40875,60.3111030118892
70260725378,99779999999,58.1666666,-135.25,58.09619,-135.40875,12.1903750714854
70260725378,99780499999,58.2,-136.6333333,58.09619,-135.40875,72.8607241957623
70260725378,99817899999,58.45,-135.8833333,58.09619,-135.40875,48.1981923328513
70260725378,99820699999,58.1833333,-136.3333333,58.09619,-135.40875,55.1872219430012
70260725378,99826199999,58.298,-134.412,58.09619,-135.40875,62.6408600383747
70260725378,99826899999,57.7833333,-135.2166666,58.09619,-135.40875,36.6298481069335
70260725378,99999925380,58.4292,-135.69,58.09619,-135.40875,40.5641120791727
70261026411,70260026435,64.54725,-149.08713,64.80309,-147.87606,64.3152641467008
70261026411,70261526498,64.8375,-147.61444,64.80309,-147.87606,12.9693713577338
70261026411,70265026407,64.68333,-147.08333,64.80309,-147.87606,39.9427378989355
70261026411,99999926494,64.9735,-147.51,64.80309,-147.87606,25.6694422556439
70261526498,70260026435,64.54725,-149.08713,64.8375,-147.61444,77.1677110450531
70261526498,70261026411,64.80309,-147.87606,64.8375,-147.61444,12.9693713577338
70261526498,70265026407,64.68333,-147.08333,64.8375,-147.61444,30.4973177564712
70261526498,99999926494,64.9735,-147.51,64.8375,-147.61444,15.92217889166
70262500104,70231026510,62.9574,-155.61009,63.017,-154.367,63.1990186019934
70262500104,70231526536,62.89417,-155.97639,63.017,-154.367,82.5963745432031
70262699999,70333025508,56.95917,-158.63167,57.58,-157.58,93.7155987151566
70262699999,70333425519,58.18528,-157.38556,57.58,-157.58,68.3550092322936
70262726561,70222026501,64.73667,-156.93444,64.72722,-155.46972,69.6057038402038
70262726561,99999996406,64.5015,-154.1297,64.72722,-155.46972,68.7082431899958
70262800105,70200526647,62.06167,-163.3,61.867,-162.033,69.7433580314525
70262800105,70305226652,61.53639,-160.34139,61.867,-162.033,96.5554932609617
70262800105,70305326654,61.775,-161.31944,61.867,-162.033,38.8832649164106
70262800105,70305626635,62.09528,-163.68194,61.867,-162.033,89.8928413212238
70264546403,70260026435,64.54725,-149.08713,63.73333,-148.91667,90.9823068195558
70265026407,70260026435,64.54725,-149.08713,64.68333,-147.08333,96.813522635985
70265026407,70261026411,64.80309,-147.87606,64.68333,-147.08333,39.9427378989355
70265026407,70261526498,64.8375,-147.61444,64.68333,-147.08333,30.4973177564712
70265026407,99999926494,64.9735,-147.51,64.68333,-147.08333,38.0984238726274
70268527518,70026027502,71.28703,-156.73938,70.46722,-157.43583,94.7275164256125
70268527518,70030027503,70.63678,-160.01314,70.46722,-157.43583,97.3644107195781
70268527518,99999927516,71.3213,-156.611,70.46722,-157.43583,99.7104610854663
70268600106,70305726653,60.54139,-165.08722,59.93161,-164.02811,89.6261893166638
70269700107,70306125521,59.32417,-155.90167,59.45,-157.333,82.3374878453823
70269700107,70321025513,59.05,-158.5167,59.45,-157.333,80.7557235746547
70269700107,70326025503,58.68294,-156.65634,59.45,-157.333,93.7565628356793
70269700107,70333599999,58.7,-157,59.45,-157.333,85.6352152063431
70269700107,70392500112,59.733,-157.267,59.45,-157.333,31.7221455032477
70269700107,99999923583,59.284,-158.6145,59.45,-157.333,74.9992815743766
70270000489,70000126492,60.78351,-148.84839,61.2658,-149.6533,69.0390580802598
70270000489,70232526443,61.57194,-149.54056,61.2658,-149.6533,34.6041823278492
70270000489,70272026401,61.25306,-149.79361,61.2658,-149.6533,7.64315155233373
70270000489,70272526491,61.1786,-149.96509,61.2658,-149.6533,19.3240473742962
70270000489,70273026451,61.16916,-150.02771,61.2658,-149.6533,22.7695507070975
70270000489,70273526409,61.2163,-149.85724,61.2658,-149.6533,12.2339678332407
70270000489,70274025331,61.59505,-149.09175,61.2658,-149.6533,47.2971229376309
70270000489,70274626497,61.41639,-149.50722,61.2658,-149.6533,18.488956408349
70270000489,70275726444,60.78333,-148.73333,61.2658,-149.6533,73.114022137444
70270000489,72259299999,61.15,-149.9833333,61.2658,-149.6533,21.8923711245726
70270000489,99738199999,61.238,-149.89,61.2658,-149.6533,13.0453373404742
70270000489,99999926563,60.7237,-150.4484,61.2658,-149.6533,74.0501858972661
70271026425,70271546407,61.94889,-147.16889,62.15914,-145.45885,92.2265416172833
70271026425,99999956401,63.0295,-145.5003,62.15914,-145.45885,96.9113020158334
70271546407,70271026425,62.15914,-145.45885,61.94889,-147.16889,92.2265416172833
70272026401,70000126492,60.78351,-148.84839,61.25306,-149.79361,73.015218736371
70272026401,70232526443,61.57194,-149.54056,61.25306,-149.79361,37.970468386639
70272026401,70270000489,61.2658,-149.6533,61.25306,-149.79361,7.64315155233373
70272026401,70272526491,61.1786,-149.96509,61.25306,-149.79361,12.3770134123085
70272026401,70273026451,61.16916,-150.02771,61.25306,-149.79361,15.6439329805172
70272026401,70273526409,61.2163,-149.85724,61.25306,-149.79361,5.32579213997297
70272026401,70274025331,61.59505,-149.09175,61.25306,-149.79361,53.3471916887274
70272026401,70274626497,61.41639,-149.50722,61.25306,-149.79361,23.7581690018339
70272026401,70275726444,60.78333,-148.73333,61.25306,-149.79361,77.4893030046413
70272026401,72259299999,61.15,-149.9833333,61.25306,-149.79361,15.3340175067207
70272026401,99738199999,61.238,-149.89,61.25306,-149.79361,5.42720654216689
70272026401,99999926563,60.7237,-150.4484,61.25306,-149.79361,68.7176533177063
70272526491,70000126492,60.78351,-148.84839,61.1786,-149.96509,74.6360479623371
70272526491,70232526443,61.57194,-149.54056,61.1786,-149.96509,49.2930197290175
70272526491,70259026523,60.57909,-151.24152,61.1786,-149.96509,96.0986481033911
70272526491,70259526559,60.47583,-151.03417,61.1786,-149.96509,97.390693646819
70272526491,70270000489,61.2658,-149.6533,61.1786,-149.96509,19.3240473742962
