STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,COUNTRY,US_State
2000199999,56.082779,13.2125,42.67,"LJUNGBYHED, SW",FM-15,99999,SW,-
2013099999,67.7333333,17.4666666,542.7,"RITSEM, SW",FM-12,99999,SW,-
2019099999,68.4166666,18.1666666,516,"KATTERJAKK A, SW",FM-12,99999,SW,-
2022099999,68.35379,18.81644,392.3,"ABISKO, SW",FM-12,99999,SW,-
2024099999,67.5,18.3,425,"STORA SJOFALLET, SW",FM-12,99999,SW,-
2029099999,67.9166666,18.6,1146,"TARFALA, SW",FM-12,99999,SW,-
2031099999,68.0666666,19.8333333,493,"RENSJON, SW",FM-12,99999,SW,-
2036099999,67.85,19.0333333,468,"NIKKALUOKTA, SW",FM-12,99999,SW,-
2038099999,67.25,20.2666666,453,"LATNIVAARA, SW",FM-12,99999,SW,-
2044099999,67.821986,20.336764,459.63,"KIRUNA, SW",FM-15,99999,SW,-
2045099999,67.8333333,20.4166666,424,"KIRUNA SOL, SW",FM-12,99999,SW,-
2049099999,67.132408,20.814636,313.02,"GALLIVARE, SW",FM-15,99999,SW,-
2055099999,68.6833333,21.5333333,402,"NAIMAKKA, SW",FM-12,99999,SW,-
2064099999,67.3333333,22.2333333,240,"SAITTAROVA, SW",FM-12,99999,SW,-
2072099999,67.7333333,22.8333333,313,"PARKALOMPOLO, SW",FM-12,99999,SW,-
2081099999,68.45,22.45,330,"KARESUANDO, SW",FM-12,99999,SW,-
2091099999,57.6666666,18.35,49,"VISBY SOL, SW",FM-12,99999,SW,-
2095099999,67.2,23.3833333,171,"PAJALA, SW",FM-12,99999,SW,-
2101099999,65.806111,15.082778,458.11,"HEMAVAN, SW",FM-15,99999,SW,-
2102099999,65.1,14.5166666,1036,"STEKENJOKK, SW",FM-12,99999,SW,-
2103099999,65.7833333,15.0666666,793,"HEMAVAN GIEREVARTO, SW",FM-12,99999,SW,-
2110099999,65.3333333,15.0666666,577,"GIELAS, SW",FM-12,99999,SW,-
2119099999,66.8833333,18.0166666,320,"KVIKKJOKK ARRENJARKA, SW",FM-12,99999,SW,-
2120599999,64.95,17.7,279,"STORUMAN, SW",FM-12,99999,SW,-
2121099999,66.6833333,16.1166666,615,"MIERKENIS, SW",FM-12,99999,SW,-
2124099999,66.05,17.8333333,432,"ARJEPLOG, SW",FM-12,99999,SW,-
2141099999,66.3166667,19.2166667,582,"TJAKAAPE, SW",FM-12,99999,SW,-
2147099999,65.15,18.6,363,"MALA BRANNAN, SW",FM-12,99999,SW,-
2151099999,66.4833333,20.1666666,275,"JOKKMOKK FPL, SW",FM-12,99999,SW,-
2154099999,65.875325,20.149917,181.96,"VIDSEL, SW",FM-15,99999,SW,-
2161099999,66.75,20.9333333,327,"NATTAVAARA, SW",FM-12,99999,SW,-
2171099999,65.8166666,21.6333333,18,"BODEN, SW",FM-12,99999,SW,-
2173099999,65.6666666,21.0666666,43,"ALVSBYN, SW",FM-12,99999,SW,-
2174099999,66.2833333,21.1333333,186,"LAKATRASK, SW",FM-12,99999,SW,-
2176099999,65.0333333,21.5666666,4,"PITE RONNSKAR, SW",FM-12,99999,SW,-
2181099999,66.2666666,22.85,62,"OVERKALIX SVARTBYN, SW",FM-12,99999,SW,-
2184099999,66.8166666,22.3333333,229,"PAHAROVA, SW",FM-12,99999,SW,-
2185099999,65.55,22.1333333,34,"LULEA KALLAX, SW",FM-12,99999,SW,-
2186099999,65.543758,22.121989,19.81,"KALLAX, SW",FM-15,99999,SW,-
