var_name,precip_depth_sum_mm,ref_date
PRD000078H00,0,
PRD000079H23,0,
PRD000079H22,0,
PRD000079H21,0,
PRD000079H20,0,
PRD000079H19,0,
PRD000079H18,0,
PRD000079H17,0,
PRD000079H16,0,
PRD000079H15,0,
PRD000079H14,0,
PRD000079H13,0,
PRD000079H12,0,
PRD000079H11,0,
PRD000079H10,0,
PRD000079H09,0,
PRD000079H08,0,
PRD000079H07,0,
PRD000079H06,0,
PRD000079H05,0,
PRD000079H04,0,
PRD000079H03,0,
PRD000079H02,0,
PRD000079H01,0,
PRD000079H00,0,
PRD000080H23,0,
PRD000080H22,0,
PRD000080H21,0,
PRD000080H20,0,
PRD000080H19,0,
PRD000080H18,0,
PRD000080H17,0,
PRD000080H16,0,
PRD000080H15,0,
PRD000080H14,0,
PRD000080H13,0,
PRD000080H12,0,
PRD000080H11,0,
PRD000080H10,0,
PRD000080H09,0,
PRD000080H08,0,
PRD000080H07,0,
PRD000080H06,0,
PRD000080H05,0,
PRD000080H04,0,
PRD000080H03,0,
PRD000080H02,0,
PRD000080H01,0,
PRD000080H00,0,
PRD000081H23,,
PRD000081H22,0,
PRD000081H21,0,
PRD000081H20,0,
PRD000081H19,0,
PRD000081H18,0,
PRD000081H17,0,
PRD000081H16,0,
PRD000081H15,0,
PRD000081H14,0,
PRD000081H13,0,
PRD000081H12,0,
PRD000081H11,0,
PRD000081H10,0,
PRD000081H09,0,
PRD000081H08,0,
PRD000081H07,0,
PRD000081H06,0,
PRD000081H05,0,
PRD000081H04,0,
PRD000081H03,0,
PRD000081H02,0,
PRD000081H01,0,
PRD000081H00,0,
PRD000082H23,0,
PRD000082H22,0,
PRD000082H21,0,
PRD000082H20,0,
PRD000082H19,0,
PRD000082H18,0,
PRD000082H17,0,
PRD000082H16,0,
PRD000082H15,0,
PRD000082H14,0,
PRD000082H13,0,
PRD000082H12,0,
PRD000082H11,0,
PRD000082H10,0,
PRD000082H09,0,
PRD000082H08,0,
PRD000082H07,0,
PRD000082H06,0,
PRD000082H05,0,
PRD000082H04,0,
PRD000082H03,0,
PRD000082H02,0,
PRD000082H01,0,
PRD000082H00,0,
PRD000083H23,0,
PRD000083H22,0,
PRD000083H21,0,
PRD000083H20,0,
PRD000083H19,0,
PRD000083H18,0,
PRD000083H17,0,
PRD000083H16,0,
PRD000083H15,0,
PRD000083H14,0,
PRD000083H13,0,
PRD000083H12,0,
PRD000083H11,0,
PRD000083H10,0,
PRD000083H09,0,
PRD000083H08,0,
PRD000083H07,0,
PRD000083H06,0,
PRD000083H05,0,
PRD000083H04,0,
PRD000083H03,0,
PRD000083H02,0,
PRD000083H01,0,
PRD000083H00,0,
PRD000084H23,0,
PRD000084H22,0,
PRD000084H21,0,
PRD000084H20,0,
PRD000084H19,0,
PRD000084H18,0,
PRD000084H17,0,
PRD000084H16,0.5,
PRD000084H15,0,
PRD000084H14,0,
PRD000084H13,0,
PRD000084H12,0,
PRD000084H11,0,
PRD000084H10,0,
PRD000084H09,0,
PRD000084H08,0,
PRD000084H07,0,
PRD000084H06,0,
PRD000084H05,0,
PRD000084H04,0,
PRD000084H03,0,
PRD000084H02,0,
PRD000084H01,0,
PRD000084H00,0,
PRD000085H23,0,
PRD000085H22,0,
PRD000085H21,0,
PRD000085H20,0,
PRD000085H19,0,
PRD000085H18,0,
PRD000085H17,0,
PRD000085H16,0,
PRD000085H15,0,
PRD000085H14,0,
PRD000085H13,0,
PRD000085H12,0,
PRD000085H11,0,
PRD000085H10,0,
PRD000085H09,0,
PRD000085H08,0,
PRD000085H07,0,
PRD000085H06,0,
PRD000085H05,0,
PRD000085H04,0,
PRD000085H03,0,
PRD000085H02,0,
PRD000085H01,0,
PRD000085H00,0,
PRD000086H23,0,
PRD000086H22,0,
PRD000086H21,0,
PRD000086H20,0,
PRD000086H19,0,
PRD000086H18,0,
PRD000086H17,0,
PRD000086H16,0,
PRD000086H15,0,
PRD000086H14,0,
PRD000086H13,0,
PRD000086H12,0,
PRD000086H11,0,
PRD000086H10,0,
PRD000086H09,0,
PRD000086H08,0,
PRD000086H07,0,
PRD000086H06,0,
PRD000086H05,0,
PRD000086H04,0,
PRD000086H03,0,
PRD000086H02,0,
PRD000086H01,0,
PRD000086H00,0,
PRD000087H23,0,
PRD000087H22,0,
PRD000087H21,0,
PRD000087H20,0,
PRD000087H19,0,
PRD000087H18,0,
PRD000087H17,0,
PRD000087H16,0,
PRD000087H15,0,
PRD000087H14,0,
PRD000087H13,0,
PRD000087H12,0,
PRD000087H11,0,
PRD000087H10,0,
PRD000087H09,0,
PRD000087H08,0,
PRD000087H07,0,
PRD000087H06,0,
PRD000087H05,0,
PRD000087H04,0,
PRD000087H03,0,
PRD000087H02,0,
PRD000087H01,0,
PRD000087H00,0,
PRD000088H23,0,
PRD000088H22,0,
PRD000088H21,0,
PRD000088H20,0,
PRD000088H19,0,
PRD000088H18,0,
PRD000088H17,0,
PRD000088H16,0,
PRD000088H15,0,
PRD000088H14,0,
PRD000088H13,0,
PRD000088H12,0,
PRD000088H11,0,
PRD000088H10,0,
PRD000088H09,0,
PRD000088H08,0,
PRD000088H07,0,
PRD000088H06,0,
PRD000088H05,0,
PRD000088H04,0,
PRD000088H03,0,
PRD000088H02,0,
PRD000088H01,0,
PRD000088H00,0,
PRD000089H23,0,
PRD000089H22,0,
PRD000089H21,0,
PRD000089H20,0,
PRD000089H19,0,
PRD000089H18,0,
PRD000089H17,0,
PRD000089H16,0,
PRD000089H15,0,
PRD000089H14,0,
PRD000089H13,0,
PRD000089H12,0,
PRD000089H11,0,
PRD000089H10,0,
PRD000089H09,0,
PRD000089H08,0,
PRD000089H07,0,
PRD000089H06,0,
PRD000089H05,0,
PRD000089H04,0,
PRD000089H03,0,
PRD000089H02,0,
PRD000089H01,0,
PRD000089H00,0,
PRD000090H23,0,
PRD000090H22,0,
PRD000090H21,0,
PRD000090H20,0,
PRD000090H19,0,
PRD000090H18,0,
PRD000090H17,0,
PRD000090H16,0,
PRD000090H15,0,
PRD000090H14,0,
PRD000090H13,0,
PRD000090H12,0,
PRD000090H11,0,
PRD000090H10,0,
PRD000090H09,0,
PRD000090H08,0,
PRD000090H07,0,
PRD000090H06,0,
PRD000090H05,0,
PRD000090H04,0,
PRD000090H03,0,
PRD000090H02,0,
PRD000090H01,0,
PRD000090H00,0,
PRD000091H23,0,
PRD000091H22,0,
PRD000091H21,0,
PRD000091H20,0,
PRD000091H19,0,
PRD000091H18,0,
PRD000091H17,0,
PRD000091H16,0,
PRD000091H15,0,
PRD000091H14,0,
PRD000091H13,0,
PRD000091H12,0,
PRD000091H11,0,
PRD000091H10,0,
PRD000091H09,0,
PRD000091H08,0,
PRD000091H07,0,
PRD000091H06,0,
PRD000091H05,0,
PRD000091H04,0,
PRD000091H03,0,
PRD000091H02,0,
PRD000091H01,0,
PRD000091H00,0,
PRD000092H23,0,
PRD000092H22,0,
PRD000092H21,0,
PRD000092H20,0,
PRD000092H19,0,
PRD000092H18,0,
PRD000092H17,0,
PRD000092H16,2.3,
PRD000092H15,5.3,
PRD000092H14,3.6,
PRD000092H13,3.6,
PRD000092H12,3,
PRD000092H11,3.3,
PRD000092H10,2.8,
PRD000092H09,5.3,
PRD000092H08,4.1,
PRD000092H07,3.3,
PRD000092H06,0.8,
PRD000092H05,0.3,
PRD000092H04,0,
PRD000092H03,0,
PRD000092H02,0,
PRD000092H01,0,
PRD000092H00,0,
PRD000093H23,0,
PRD000093H22,0,
PRD000093H21,0,
PRD000093H20,0,
PRD000093H19,0,
PRD000093H18,0,
PRD000093H17,0,
PRD000093H16,0,
PRD000093H15,0,
PRD000093H14,0,
PRD000093H13,0,
PRD000093H12,0,
PRD000093H11,0,
PRD000093H10,0,
PRD000093H09,0,
PRD000093H08,0,
PRD000093H07,0,
PRD000093H06,0,
PRD000093H05,0,
PRD000093H04,0,
PRD000093H03,0,
PRD000093H02,0,
PRD000093H01,0,
PRD000093H00,0,
PRD000094H23,0,
PRD000094H22,0,
PRD000094H21,0,
PRD000094H20,0,
PRD000094H19,0,
PRD000094H18,0,
PRD000094H17,0,
PRD000094H16,0,
PRD000094H15,0,
PRD000094H14,0,
PRD000094H13,0,
PRD000094H12,0,
PRD000094H11,0,
PRD000094H10,0,
PRD000094H09,0,
PRD000094H08,0,
PRD000094H07,0,
PRD000094H06,0,
PRD000094H05,0,
PRD000094H04,0,
PRD000094H03,0,
PRD000094H02,0,
PRD000094H01,0,
PRD000094H00,0,
PRD000095H23,0,
PRD000095H22,0,
PRD000095H21,0,
PRD000095H20,0,
PRD000095H19,0,
PRD000095H18,0,
PRD000095H17,0,
PRD000095H16,0,
PRD000095H15,0,
PRD000095H14,0,
PRD000095H13,0,
PRD000095H12,0,
PRD000095H11,0,
PRD000095H10,0,
PRD000095H09,0,
PRD000095H08,0,
PRD000095H07,0,
PRD000095H06,0,
PRD000095H05,0,
PRD000095H04,0,
PRD000095H03,0,
PRD000095H02,0,
PRD000095H01,0,
PRD000095H00,0,
PRD000096H23,0,
PRD000096H22,0,
PRD000096H21,0,
PRD000096H20,0,
PRD000096H19,0,
PRD000096H18,0,
PRD000096H17,0,
PRD000096H16,0,
PRD000096H15,0,
PRD000096H14,0,
PRD000096H13,0,
PRD000096H12,0,
PRD000096H11,0,
PRD000096H10,0,
PRD000096H09,0,
PRD000096H08,0,
PRD000096H07,0,
PRD000096H06,0,
PRD000096H05,0,
PRD000096H04,0,
PRD000096H03,0,
PRD000096H02,0,
PRD000096H01,0,
PRD000096H00,0,
PRD000097H23,0,
PRD000097H22,0,
PRD000097H21,0,
PRD000097H20,0,
PRD000097H19,0,
PRD000097H18,0,
PRD000097H17,0,
PRD000097H16,0,
PRD000097H15,0,
PRD000097H14,0,
PRD000097H13,0,
PRD000097H12,0,
PRD000097H11,0,
PRD000097H10,0,
PRD000097H09,0,
PRD000097H08,0,
PRD000097H07,0,
PRD000097H06,0,
PRD000097H05,0,
PRD000097H04,0,
PRD000097H03,0,
PRD000097H02,0,
PRD000097H01,0,
PRD000097H00,0,
PRD000098H23,0,
PRD000098H22,0,
PRD000098H21,0,
PRD000098H20,0,
PRD000098H19,0,
PRD000098H18,0,
PRD000098H17,0,
PRD000098H16,0,
PRD000098H15,0,
PRD000098H14,0,
PRD000098H13,0,
PRD000098H12,0,
PRD000098H11,0,
PRD000098H10,0,
PRD000098H09,0,
PRD000098H08,0,
PRD000098H07,0,
PRD000098H06,0,
PRD000098H05,0,
PRD000098H04,0,
PRD000098H03,0,
PRD000098H02,0,
PRD000098H01,0,
PRD000098H00,0,
PRD000099H23,0,
PRD000099H22,0,
PRD000099H21,0,
PRD000099H20,0,
PRD000099H19,0,
PRD000099H18,0,
PRD000099H17,0,
PRD000099H16,0,
PRD000099H15,0,
PRD000099H14,0,
PRD000099H13,0,
PRD000099H12,0,
PRD000099H11,0,
PRD000099H10,0,
PRD000099H09,0,
PRD000099H08,0,
PRD000099H07,0,
PRD000099H06,0,
PRD000099H05,0,
PRD000099H04,0,
PRD000099H03,0,
PRD000099H02,0,
PRD000099H01,0,
PRD000099H00,0,
PRD000100H23,0,
PRD000100H22,0,
PRD000100H21,0,
